nt n SUN kernel bw
7 4 mu-external MatMul 4.7803
7 4 mu-external MatMulTmp 0.9306
7 4 mu-external MatMulInter 0.8557
7 4 mu-external conjMatMul 0.8554
7 4 mu-external HalfStaple 2.8902
7 4 mu-external Plaquette 0.3061
7 4 SUN-internal MatMul 5.3955
7 4 SUN-internal MatMulTmp 0.9414
7 4 SUN-internal MatMulInter 0.8631
7 4 SUN-internal conjMatMul 0.9414
7 4 SUN-internal HalfStaple 0.5151
7 4 SUN-internal Plaquette 0.3360
7 4 SUN-internal Plaquette-Kernel 0.3070
7 4 SUN-internal Plaquette-Notrace 0.3394
7 4 SUN-internal Plaquette-Trace 0.2855
7 4 SUN-internal Plaquette-NotraceTrace 0.3358
7 4 SUN-array MatMul 7.8007
7 4 SUN-array conjMatMul 7.9639
7 4 SUN-array HalfStaple 4.0595
7 4 SUN-array Plaquette 0.4162
7 4 SUN-array Plaquette-Kernel 0.4172
7 4 SUN-array Plaquette-Notrace 0.5451
7 4 SUN-array Plaquette-Trace 0.0920
7 4 SUN-array Plaquette-NotraceTrace 1.0604
7 6 mu-external MatMul 25.7297
7 6 mu-external MatMulTmp 3.7270
7 6 mu-external MatMulInter 3.4814
7 6 mu-external conjMatMul 3.7219
7 6 mu-external HalfStaple 16.5859
7 6 mu-external Plaquette 1.6800
7 6 SUN-internal MatMul 26.9295
7 6 SUN-internal MatMulTmp 3.7607
7 6 SUN-internal MatMulInter 3.5094
7 6 SUN-internal conjMatMul 3.7588
7 6 SUN-internal HalfStaple 2.6034
7 6 SUN-internal Plaquette 1.8585
7 6 SUN-internal Plaquette-Kernel 1.7031
7 6 SUN-internal Plaquette-Notrace 1.8737
7 6 SUN-internal Plaquette-Trace 1.5092
7 6 SUN-internal Plaquette-NotraceTrace 1.7137
7 6 SUN-array MatMul 31.4323
7 6 SUN-array conjMatMul 31.0997
7 6 SUN-array HalfStaple 18.4296
7 6 SUN-array Plaquette 2.0708
7 6 SUN-array Plaquette-Kernel 2.0996
7 6 SUN-array Plaquette-Notrace 2.7671
7 6 SUN-array Plaquette-Trace 0.5352
7 6 SUN-array Plaquette-NotraceTrace 5.4701
7 8 mu-external MatMul 77.2206
7 8 mu-external MatMulTmp 10.3104
7 8 mu-external MatMulInter 9.7049
7 8 mu-external conjMatMul 10.3006
7 8 mu-external HalfStaple 49.9160
7 8 mu-external Plaquette 4.8962
7 8 SUN-internal MatMul 81.5914
7 8 SUN-internal MatMulTmp 10.3937
7 8 SUN-internal MatMulInter 10.3838
7 8 SUN-internal conjMatMul 10.3923
7 8 SUN-internal HalfStaple 8.2595
7 8 SUN-internal Plaquette 5.3679
7 8 SUN-internal Plaquette-Kernel 4.8985
7 8 SUN-internal Plaquette-Notrace 4.9865
7 8 SUN-internal Plaquette-Trace 4.7147
7 8 SUN-internal Plaquette-NotraceTrace 4.9864
7 8 SUN-array MatMul 84.6010
7 8 SUN-array conjMatMul 84.8444
7 8 SUN-array HalfStaple 53.4019
7 8 SUN-array Plaquette 5.9362
7 8 SUN-array Plaquette-Kernel 5.9216
7 8 SUN-array Plaquette-Notrace 8.2223
7 8 SUN-array Plaquette-Trace 1.6365
7 8 SUN-array Plaquette-NotraceTrace 15.5638
7 10 mu-external MatMul 162.8729
7 10 mu-external MatMulTmp 25.0356
7 10 mu-external MatMulInter 25.0014
7 10 mu-external conjMatMul 25.0578
7 10 mu-external HalfStaple 109.4585
7 10 mu-external Plaquette 10.0915
7 10 SUN-internal MatMul 175.1257
7 10 SUN-internal MatMulTmp 26.8931
7 10 SUN-internal MatMulInter 25.2046
7 10 SUN-internal conjMatMul 25.2386
7 10 SUN-internal HalfStaple 19.3860
7 10 SUN-internal Plaquette 10.9194
7 10 SUN-internal Plaquette-Kernel 9.4158
7 10 SUN-internal Plaquette-Notrace 10.3667
7 10 SUN-internal Plaquette-Trace 12.6173
7 10 SUN-internal Plaquette-NotraceTrace 10.4715
7 10 SUN-array MatMul 168.9678
7 10 SUN-array conjMatMul 167.1164
7 10 SUN-array HalfStaple 113.9150
7 10 SUN-array Plaquette 13.0766
7 10 SUN-array Plaquette-Kernel 13.0771
7 10 SUN-array Plaquette-Notrace 18.5668
7 10 SUN-array Plaquette-Trace 4.1200
7 10 SUN-array Plaquette-NotraceTrace 32.8260
7 12 mu-external MatMul 287.4086
7 12 mu-external MatMulTmp 51.6767
7 12 mu-external MatMulInter 48.6325
7 12 mu-external conjMatMul 51.6461
7 12 mu-external HalfStaple 206.5758
7 12 mu-external Plaquette 19.3181
