nt n SUN kernel bw
64 4 internal MatMul 25.9773
64 4 internal MatMulTmp 27.0396
64 4 internal MatMulInter 27.4592
64 4 internal conjMatMul 28.0335
64 4 internal HalfStaple 7.0262
64 4 internal Plaquette 6.3586
64 4 internal Plaquette_Kernel 6.1084
64 4 internal Plaquette_Notrace 7.1378
64 4 internal Plaquette_Trace 0.7207
64 4 internal Plaquette_NotraceTrace 4.2976
64 4 array MatMul 29.0649
64 4 array conjMatMul 27.6999
64 4 array HalfStaple 8.0372
64 4 array Plaquette 5.3562
64 4 array Plaquette_Kernel 4.1514
64 4 array Plaquette_Notrace 7.4024
64 4 array Plaquette_Trace 0.2736
64 4 array Plaquette_NotraceTrace 4.6697
64 6 internal MatMul 102.0733
64 6 internal MatMulTmp 112.3113
64 6 internal MatMulInter 109.3500
64 6 internal conjMatMul 109.6176
64 6 internal HalfStaple 31.3830
64 6 internal Plaquette 22.0017
64 6 internal Plaquette_Kernel 20.4856
64 6 internal Plaquette_Notrace 23.4884
64 6 internal Plaquette_Trace 2.6918
64 6 internal Plaquette_NotraceTrace 15.2524
64 6 array MatMul 118.6861
64 6 array conjMatMul 108.6603
64 6 array HalfStaple 36.4287
64 6 array Plaquette 16.7827
64 6 array Plaquette_Kernel 11.8042
64 6 array Plaquette_Notrace 24.4314
64 6 array Plaquette_Trace 1.3806
64 6 array Plaquette_NotraceTrace 18.2543
64 8 internal MatMul 261.8531
64 8 internal MatMulTmp 293.6883
64 8 internal MatMulInter 290.1963
64 8 internal conjMatMul 289.4842
64 8 internal HalfStaple 93.0322
64 8 internal Plaquette 49.6276
64 8 internal Plaquette_Kernel 45.1022
64 8 internal Plaquette_Notrace 50.9449
64 8 internal Plaquette_Trace 12.6104
64 8 internal Plaquette_NotraceTrace 42.3659
64 8 array MatMul 284.5954
64 8 array conjMatMul 253.5968
64 8 array HalfStaple 97.2772
64 8 array Plaquette 33.4647
64 8 array Plaquette_Kernel 23.0420
64 8 array Plaquette_Notrace 51.6553
64 8 array Plaquette_Trace 4.3691
64 8 array Plaquette_NotraceTrace 42.5098
64 10 internal MatMul 349.9392
64 10 internal MatMulTmp 408.1247
64 10 internal MatMulInter 412.6074
64 10 internal conjMatMul 407.4607
64 10 internal HalfStaple 133.7461
64 10 internal Plaquette 46.2836
64 10 internal Plaquette_Kernel 42.5847
64 10 internal Plaquette_Notrace 56.8047
64 10 internal Plaquette_Trace 16.1025
64 10 internal Plaquette_NotraceTrace 46.7638
64 10 array MatMul 388.5853
64 10 array conjMatMul 336.3111
64 10 array HalfStaple 179.1788
64 10 array Plaquette 29.5218
64 10 array Plaquette_Kernel 19.8606
64 10 array Plaquette_Notrace 54.4360
64 10 array Plaquette_Trace 10.1523
64 10 array Plaquette_NotraceTrace 51.1493
64 12 internal MatMul 434.9576
64 12 internal MatMulTmp 527.5512
64 12 internal MatMulInter 513.3497
64 12 internal conjMatMul 524.6238
64 12 internal HalfStaple 188.5885
64 12 internal Plaquette 57.5942
64 12 internal Plaquette_Kernel 51.6830
64 12 internal Plaquette_Notrace 66.6316
64 12 internal Plaquette_Trace 13.3206
64 12 internal Plaquette_NotraceTrace 46.8703
64 12 array MatMul 485.0001
64 12 array conjMatMul 410.0688
64 12 array HalfStaple 278.9770
64 12 array Plaquette 37.1126
64 12 array Plaquette_Kernel 18.9073
64 12 array Plaquette_Notrace 63.3501
64 12 array Plaquette_Trace 19.4704
64 12 array Plaquette_NotraceTrace 60.3854
64 16 internal MatMul 260.0665
64 16 internal MatMulTmp 689.0970
64 16 internal MatMulInter 714.1267
64 16 internal conjMatMul 703.9610
64 16 internal HalfStaple 156.3820
64 16 internal Plaquette 53.9868
64 16 internal Plaquette_Kernel 48.8568
64 16 internal Plaquette_Notrace 71.7294
64 16 internal Plaquette_Trace 10.0863
64 16 internal Plaquette_NotraceTrace 33.8794
64 16 array MatMul 265.3559
64 16 array conjMatMul 551.3179
64 16 array HalfStaple 169.9985
64 16 array Plaquette 43.7402
64 16 array Plaquette_Kernel 24.4361
64 16 array Plaquette_Notrace 70.9750
64 16 array Plaquette_Trace 41.7926
64 16 array Plaquette_NotraceTrace 57.4553
64 20 internal MatMul 152.6171
64 20 internal MatMulTmp 224.9630
64 20 internal MatMulInter 261.7213
64 20 internal conjMatMul 267.0190
64 20 internal HalfStaple 131.2918
64 20 internal Plaquette 45.7923
64 20 internal Plaquette_Kernel 41.2452
64 20 internal Plaquette_Notrace 36.3119
64 20 internal Plaquette_Trace 20.1978
64 20 internal Plaquette_NotraceTrace 33.1551
64 20 array MatMul 186.5320
64 20 array conjMatMul 239.9788
64 20 array HalfStaple 134.6946
64 20 array Plaquette 34.6004
64 20 array Plaquette_Kernel 22.4446
64 20 array Plaquette_Notrace 37.2394
64 20 array Plaquette_Trace 27.2747
64 20 array Plaquette_NotraceTrace 41.4728
64 24 internal MatMul 112.5632
64 24 internal MatMulTmp 102.8364
64 24 internal MatMulInter 102.8534
64 24 internal conjMatMul 102.8599
64 24 internal HalfStaple 76.5350
64 24 internal Plaquette 48.3626
64 24 internal Plaquette_Kernel 58.1083
64 24 internal Plaquette_Notrace 45.0518
64 24 internal Plaquette_Trace 23.8813
64 24 internal Plaquette_NotraceTrace 39.3998
64 24 array MatMul 126.2985
64 24 array conjMatMul 109.6946
64 24 array HalfStaple 94.1003
64 24 array Plaquette 39.6189
64 24 array Plaquette_Kernel 24.8314
64 24 array Plaquette_Notrace 56.1844
64 24 array Plaquette_Trace 46.9269
64 24 array Plaquette_NotraceTrace 62.0904
64 28 internal MatMul 116.4251
64 28 internal MatMulTmp 111.5120
64 28 internal MatMulInter 111.4172
64 28 internal conjMatMul 111.4022
64 28 internal HalfStaple 76.2536
64 28 internal Plaquette 60.5445
64 28 internal Plaquette_Kernel 68.0575
64 28 internal Plaquette_Notrace 53.1217
64 28 internal Plaquette_Trace 37.0861
64 28 internal Plaquette_NotraceTrace 47.9147
64 28 array MatMul 121.3325
64 28 array conjMatMul 113.4698
64 28 array HalfStaple 79.1029
64 28 array Plaquette 39.9769
64 28 array Plaquette_Kernel 23.8800
