nt n SUN kernel bw
32 4 internal MatMul 13.8197
32 4 internal MatMulTmp 17.7944
32 4 internal MatMulInter 11.2648
32 4 internal conjMatMul 18.0558
32 4 internal HalfStaple 7.1075
32 4 internal Plaquette 3.9501
32 4 internal Plaquette_Kernel 3.9875
32 4 internal Plaquette_Notrace 5.6031
32 4 internal Plaquette_Trace 0.4766
32 4 internal Plaquette_NotraceTrace 3.2539
32 4 array MatMul 25.6133
32 4 array conjMatMul 25.2637
32 4 array HalfStaple 7.8994
32 4 array Plaquette 4.0454
32 4 array Plaquette_Kernel 4.1502
32 4 array Plaquette_Notrace 6.4283
32 4 array Plaquette_Trace 0.1639
32 4 array Plaquette_NotraceTrace 3.4711
32 6 internal MatMul 75.5563
32 6 internal MatMulTmp 96.9895
32 6 internal MatMulInter 57.8231
32 6 internal conjMatMul 98.5256
32 6 internal HalfStaple 38.1384
32 6 internal Plaquette 21.8395
32 6 internal Plaquette_Kernel 22.1243
32 6 internal Plaquette_Notrace 31.2108
32 6 internal Plaquette_Trace 2.5812
32 6 internal Plaquette_NotraceTrace 17.6763
32 6 array MatMul 131.3483
32 6 array conjMatMul 129.5250
32 6 array HalfStaple 41.3800
32 6 array Plaquette 22.1446
32 6 array Plaquette_Kernel 22.8426
32 6 array Plaquette_Notrace 34.8880
32 6 array Plaquette_Trace 0.8790
32 6 array Plaquette_NotraceTrace 18.8261
32 8 internal MatMul 210.8397
32 8 internal MatMulTmp 276.6854
32 8 internal MatMulInter 167.3655
32 8 internal conjMatMul 277.1187
32 8 internal HalfStaple 107.8289
32 8 internal Plaquette 61.6632
32 8 internal Plaquette_Kernel 63.0811
32 8 internal Plaquette_Notrace 87.5280
32 8 internal Plaquette_Trace 7.6382
32 8 internal Plaquette_NotraceTrace 51.0386
32 8 array MatMul 363.1548
32 8 array conjMatMul 351.9411
32 8 array HalfStaple 116.3361
32 8 array Plaquette 63.4902
32 8 array Plaquette_Kernel 65.5360
32 8 array Plaquette_Notrace 98.0739
32 8 array Plaquette_Trace 2.5600
32 8 array Plaquette_NotraceTrace 54.0662
32 10 internal MatMul 420.5300
32 10 internal MatMulTmp 595.0413
32 10 internal MatMulInter 185.7645
32 10 internal conjMatMul 583.3896
32 10 internal HalfStaple 246.9842
32 10 internal Plaquette 102.7104
32 10 internal Plaquette_Kernel 103.9317
